Week,Covid vaccine,Vaccine Booking,vaccine side effects,covid booster
2020-12-13,20,0,3,0.1
2020-12-20,12,0,1,0
2020-12-27,14,0,1,0
2021-01-03,15,0,1,0
2021-01-10,18,0.1,2,0
2021-01-17,14,0.1,2,0
2021-01-24,13,0.1,1,0
2021-01-31,10,0,1,0
2021-02-07,11,0.1,1,0
2021-02-14,12,0.1,1,0
2021-02-21,23,2,1,0
2021-02-28,33,2,2,0
2021-03-07,48,4,2,0
2021-03-14,53,8,2,0
2021-03-21,57,8,2,0
2021-03-28,69,12,3,0.1
2021-04-04,100,19,4,0.1
2021-04-11,78,13,5,0.1
2021-04-18,92,13,7,0.1
2021-04-25,91,13,6,0.1
2021-05-02,95,24,5,0.1
2021-05-09,80,17,6,0.1
2021-05-16,69,13,5,0.1
2021-05-23,63,11,5,0.1
2021-05-30,88,13,4,0.1
2021-06-06,75,22,4,0.1
2021-06-13,87,30,4,0.1
2021-06-20,83,27,5,0.1
2021-06-27,60,17,5,0.1
2021-07-04,50,9,5,0.1
2021-07-11,38,5,4,0.1
2021-07-18,33,3,3,0.1
2021-07-25,28,2,3,0.1
2021-08-01,44,2,2,0.1
2021-08-08,25,2,2,0.1
2021-08-15,97,2,2,1
2021-08-22,46,2,2,0.1
2021-08-29,60,2,2,1
2021-09-05,28,2,2,1
2021-09-12,33,2,2,1
2021-09-19,36,2,2,1
2021-09-26,27,1,2,1
2021-10-03,27,1,2,1
2021-10-10,26,1,1,1
2021-10-17,26,1,1,1
2021-10-24,18,1,1,2
2021-10-31,20,2,1,4
2021-11-07,16,2,1,4
2021-11-14,18,1,1,3
2021-11-21,25,5,1,3
2021-11-28,23,4,1,6
2021-12-05,22,4,1,7
2021-12-12,49,22,1,15
2021-12-19,51,27,1,16
2021-12-26,31,10,1,9
2022-01-02,33,12,2,9
2022-01-09,26,7,2,7
2022-01-16,82,4,1,4
2022-01-23,12,2,1,2
2022-01-30,11,2,1,2
2022-02-06,10,1,1,1
2022-02-13,9,1,1,1
2022-02-20,7,1,1,1
2022-02-27,6,1,1,1
2022-03-06,5,0.1,1,1
2022-03-13,5,1,1,1
2022-03-20,4,1,0.1,1
2022-03-27,5,0.1,0.1,1
2022-04-03,8,2,0.1,2
2022-04-10,6,1,0.1,2
2022-04-17,5,1,0.1,1
2022-04-24,5,1,0.1,1
2022-05-01,5,1,0.1,1
2022-05-08,4,1,0.1,1
2022-05-15,4,1,0.1,1
2022-05-22,4,0.1,0.1,1
2022-05-29,3,0.1,0.1,1
2022-06-05,4,0.1,0.1,1
2022-06-12,5,0.1,0.1,1
2022-06-19,4,0.1,0.1,1
2022-06-26,3,0.1,0.1,1
2022-07-03,5,1,0.1,1
2022-07-10,8,2,0.1,2
2022-07-17,7,1,1,1
2022-07-24,6,1,1,1
2022-07-31,5,1,0.1,1
2022-08-07,5,1,0.1,1
2022-08-14,5,1,0.1,1
2022-08-21,5,1,1,1
2022-08-28,5,1,0.1,1
2022-09-04,5,1,0.1,1
2022-09-11,8,2,0.1,1
2022-09-18,7,2,1,1
2022-09-25,8,2,1,1
2022-10-02,7,1,1,1
2022-10-09,8,2,1,1
2022-10-16,8,2,1,1
2022-10-23,7,2,1,1
2022-10-30,6,1,1,1
2022-11-06,5,1,1,1
2022-11-13,5,1,1,1
2022-11-20,4,1,1,1
2022-11-27,4,1,0.1,0.1
2022-12-04,4,1,0.1,1
2022-12-11,4,1,0.1,0.1
2022-12-18,3,0.1,0.1,0.1
2022-12-25,3,0.1,0.1,0.1
2023-01-01,4,1,0.1,1
2023-01-08,4,0.1,0.1,1
2023-01-15,3,0.1,0.1,0.1
2023-01-22,2,0.1,0.1,0.1
2023-01-29,2,0.1,0.1,0.1
2023-02-05,2,0.1,0.1,0.1
2023-02-12,2,0.1,0.1,0.1
2023-02-19,2,0.1,0.1,0.1
2023-02-26,2,0.1,0.1,0.1
2023-03-05,2,0.1,0.1,0.1
2023-03-12,2,0.1,0.1,0.1
2023-03-19,2,0.1,0.1,0.1
2023-03-26,2,0.1,0.1,0.1
2023-04-02,2,0.1,0.1,0.1
2023-04-09,2,0.1,0.1,0.1
2023-04-16,2,0.1,0.1,0.1
2023-04-23,2,0.1,0.1,0.1
2023-04-30,2,0.1,0.1,0.1
2023-05-07,2,0.1,0.1,0.1
2023-05-14,1,0.1,0.1,0.1
2023-05-21,1,0.1,0.1,0.1
2023-05-28,1,0.1,0.1,0.1
2023-06-04,1,0.1,0.1,0.1
2023-06-11,1,0.1,0.1,0.1
2023-06-18,1,0.1,0.1,0.1
2023-06-25,1,0.1,0.1,0.1
2023-07-02,1,0.1,0.1,0.1
2023-07-09,1,0.1,0.1,0.1
2023-07-16,1,0.1,0.1,0.1
2023-07-23,1,0.1,0.1,0.1
2023-07-30,1,0.1,0.1,0.1
2023-08-06,1,0.1,0.1,0.1
2023-08-13,1,0.1,0.1,0.1
2023-08-20,2,0.1,0.1,0.1
2023-08-27,2,0.1,0.1,0.1
2023-09-03,1,0.1,0.1,0.1
2023-09-10,2,0.1,0.1,0.1
2023-09-17,2,0.1,0.1,0.1
2023-09-24,3,0.1,0.1,0.1
2023-10-01,4,1,0.1,0.1
2023-10-08,6,1,0.1,1
2023-10-15,6,1,1,1
2023-10-22,6,1,1,1
2023-10-29,6,1,1,1
2023-11-05,4,1,1,0.1
2023-11-12,3,0.1,0.1,0.1
2023-11-19,3,0.1,0.1,0.1
2023-11-26,2,0.1,0.1,0.1
